"(0.38020002841949463, 0.5147953033447266, -0.3537895083427429, 0.9999725818634033)","(0.367480993270874, 0.50519198179245, -0.33825188875198364, 0.99988853931427)","(0.3670557141304016, 0.4982859790325165, -0.3382749557495117, 0.9998949766159058)","(0.36658942699432373, 0.49207183718681335, -0.3382720649242401, 0.9998922348022461)","(0.36870047450065613, 0.5263985395431519, -0.3374328315258026, 0.999853253364563)","(0.36893370747566223, 0.5330349802970886, -0.3374490737915039, 0.9998427629470825)","(0.3689565062522888, 0.5388516783714294, -0.3374658524990082, 0.9998328685760498)","(0.3702135980129242, 0.4804629683494568, -0.21638283133506775, 0.9998007416725159)","(0.3729565441608429, 0.5443149209022522, -0.21232904493808746, 0.999563992023468)","(0.3893803358078003, 0.49806031584739685, -0.30546700954437256, 0.9999579191207886)","(0.3910505175590515, 0.5237485766410828, -0.3044464886188507, 0.9999352693557739)","(0.43639105558395386, 0.40670010447502136, -0.1337500661611557, 0.9999672174453735)","(0.4419400691986084, 0.5923686623573303, -0.1084970161318779, 0.9998693466186523)","(0.5195678472518921, 0.3811799883842468, -0.08768893033266068, 0.988623857498169)","(0.5277284383773804, 0.5927075743675232, -0.05215536057949066, 0.9619471430778503)","(0.5983010530471802, 0.4018274247646332, -0.20867612957954407, 0.9835510849952698)","(0.5918164253234863, 0.6135648488998413, -0.16651873290538788, 0.9574674367904663)","(0.6214601993560791, 0.3902498781681061, -0.2476293295621872, 0.9661393165588379)","(0.6120233535766602, 0.6232402324676514, -0.20334875583648682, 0.9301145076751709)","(0.6209799647331238, 0.40161487460136414, -0.28448474407196045, 0.9676868319511414)","(0.6076591610908508, 0.6200655698776245, -0.24305017292499542, 0.9339850544929504)","(0.6148932576179504, 0.4084775149822235, -0.22505533695220947, 0.9592106342315674)","(0.6003097295761108, 0.6137653589248657, -0.18502378463745117, 0.9216219782829285)","(0.6016443371772766, 0.4498710334300995, -0.010224908590316772, 0.9996616840362549)","(0.6005462408065796, 0.5494396090507507, 0.010116267949342728, 0.9995809197425842)","(0.7235943675041199, 0.45254504680633545, -0.007674165535718203, 0.9955368041992188)","(0.7234150171279907, 0.5474246144294739, 0.028650185093283653, 0.9944425225257874)","(0.8237115144729614, 0.4576684236526489, 0.2207585871219635, 0.9933202266693115)","(0.8254550099372864, 0.5398502349853516, 0.23993870615959167, 0.9931865930557251)","(0.8349419832229614, 0.4625357389450073, 0.23471291363239288, 0.9126529693603516)","(0.838031530380249, 0.5229260325431824, 0.2524946630001068, 0.8999336957931519)","(0.8628107309341431, 0.44093745946884155, 0.0915270522236824, 0.9899433851242065)","(0.8695307374000549, 0.5642057061195374, 0.11000824719667435, 0.990125298500061)"
"(0.3794997036457062, 0.5147119760513306, -0.3535877764225006, 0.9999721050262451)","(0.3672280013561249, 0.5051991939544678, -0.33813831210136414, 0.9998860955238342)","(0.3668251633644104, 0.4982120096683502, -0.3381613790988922, 0.9998929500579834)","(0.3663976192474365, 0.4917442500591278, -0.33816149830818176, 0.9998899698257446)","(0.36830228567123413, 0.5263979434967041, -0.3372762203216553, 0.9998512864112854)","(0.3685453236103058, 0.5330330729484558, -0.3372930586338043, 0.9998416900634766)","(0.36872604489326477, 0.5388432741165161, -0.33731403946876526, 0.9998316168785095)","(0.36999186873435974, 0.4804404079914093, -0.21691595017910004, 0.9997994303703308)","(0.3726258873939514, 0.543818473815918, -0.21232721209526062, 0.9995656609535217)","(0.3892582952976227, 0.4980557858943939, -0.30546700954437256, 0.9999581575393677)","(0.3907315731048584, 0.5237292051315308, -0.30440008640289307, 0.9999354481697083)","(0.4364767074584961, 0.4066784083843231, -0.1325414627790451, 0.9999662041664124)","(0.44200894236564636, 0.5924146175384521, -0.10990889370441437, 0.9998703598976135)","(0.5196301341056824, 0.38119637966156006, -0.0746440514922142, 0.9881448745727539)","(0.527753472328186, 0.5927110314369202, -0.05234888568520546, 0.9611735343933105)","(0.5981749892234802, 0.4006601572036743, -0.17813752591609955, 0.9822359085083008)","(0.591214656829834, 0.6135584712028503, -0.15923833847045898, 0.956351637840271)","(0.6213505864143372, 0.3894213140010834, -0.21004131436347961, 0.9638370275497437)","(0.611613929271698, 0.6234347820281982, -0.19322806596755981, 0.9286831617355347)","(0.6208104491233826, 0.39871740341186523, -0.2487022876739502, 0.9656038284301758)","(0.6071432828903198, 0.6200677156448364, -0.23334911465644836, 0.9327030777931213)","(0.6147229671478271, 0.4050253927707672, -0.1949138045310974, 0.9569266438484192)","(0.5999619960784912, 0.613767683506012, -0.1776760071516037, 0.9201714992523193)","(0.6011582016944885, 0.45085451006889343, -0.01018033642321825, 0.9996490478515625)","(0.6005235314369202, 0.5492438673973083, 0.010074540041387081, 0.9995686411857605)","(0.7231138944625854, 0.4530342221260071, -0.017694389447569847, 0.9955230355262756)","(0.7216897010803223, 0.5476213693618774, 0.015685878694057465, 0.9944632053375244)","(0.8239728808403015, 0.45704972743988037, 0.19643525779247284, 0.9934321641921997)","(0.8250914812088013, 0.536549985408783, 0.21244023740291595, 0.9932385087013245)","(0.8352771997451782, 0.4625299572944641, 0.2083604633808136, 0.9121540188789368)","(0.8377764821052551, 0.5218718647956848, 0.22331921756267548, 0.8997361063957214)","(0.8625776171684265, 0.44181740283966064, 0.059350620955228806, 0.99004065990448)","(0.86827152967453, 0.5616673231124878, 0.07940355688333511, 0.9901554584503174)"
"(0.378868043422699, 0.5146841406822205, -0.3426963984966278, 0.9999715685844421)","(0.3669864237308502, 0.505222499370575, -0.32730740308761597, 0.999883770942688)","(0.36660176515579224, 0.498171865940094, -0.32733049988746643, 0.9998909831047058)","(0.3662148714065552, 0.4915430247783661, -0.327335387468338, 0.9998878240585327)","(0.368003249168396, 0.5264145731925964, -0.32593685388565063, 0.9998486042022705)","(0.36828917264938354, 0.5330438017845154, -0.3259515166282654, 0.9998395442962646)","(0.36858925223350525, 0.5388472676277161, -0.3259803056716919, 0.9998289346694946)","(0.36984676122665405, 0.4804292321205139, -0.20846600830554962, 0.9997990727424622)","(0.37247344851493835, 0.5435861945152283, -0.20075932145118713, 0.9995623230934143)","(0.3890935480594635, 0.4980577230453491, -0.29577940702438354, 0.9999586343765259)","(0.39044976234436035, 0.5237419009208679, -0.2938116788864136, 0.9999355673789978)","(0.4364802837371826, 0.4066944718360901, -0.12253396958112717, 0.9999655485153198)","(0.4422013461589813, 0.5924304723739624, -0.10136798769235611, 0.9998704791069031)","(0.519630491733551, 0.3811746835708618, -0.06221369653940201, 0.9877727627754211)","(0.5274002552032471, 0.592317521572113, -0.04607508331537247, 0.9592788815498352)","(0.5980250239372253, 0.40043002367019653, -0.1646401286125183, 0.9811303019523621)","(0.5880101323127747, 0.6134913563728333, -0.15706823766231537, 0.9547222852706909)","(0.6212217211723328, 0.3893686532974243, -0.19632413983345032, 0.9619340896606445)","(0.6076087951660156, 0.6235009431838989, -0.19146326184272766, 0.9270220994949341)","(0.6206987500190735, 0.3981073498725891, -0.23500052094459534, 0.9638668298721313)","(0.6035261750221252, 0.6201487183570862, -0.23189006745815277, 0.9312240481376648)","(0.6146398782730103, 0.4041149914264679, -0.1813129335641861, 0.9550100564956665)","(0.5966715812683105, 0.6137679815292358, -0.1759049892425537, 0.9185059666633606)","(0.6010288000106812, 0.4510183036327362, -0.00986403040587902, 0.9996396899223328)","(0.6005202531814575, 0.5487697720527649, 0.009764326736330986, 0.9995594620704651)","(0.7230696678161621, 0.4530079662799835, -0.025318115949630737, 0.9955573678016663)","(0.7212926149368286, 0.5479751229286194, 0.006979790981858969, 0.9945252537727356)","(0.8241118788719177, 0.4563179910182953, 0.19233369827270508, 0.9935594201087952)","(0.8247915506362915, 0.5352242588996887, 0.2058154195547104, 0.9933326244354248)","(0.835470974445343, 0.4624992907047272, 0.20455025136470795, 0.912117063999176)","(0.8376505970954895, 0.5213714838027954, 0.21669471263885498, 0.8998189568519592)","(0.8625328540802002, 0.4419412612915039, 0.05420059710741043, 0.9901596903800964)","(0.86778324842453, 0.5607337355613708, 0.07094297558069229, 0.9902432560920715)"
"(0.37867406010627747, 0.5146828293800354, -0.3210223615169525, 0.9999708533287048)","(0.3669438660144806, 0.50529944896698, -0.30565205216407776, 0.9998807907104492)","(0.3665611743927002, 0.49816957116127014, -0.3056827485561371, 0.99988853931427)","(0.36617374420166016, 0.49146339297294617, -0.30568790435791016, 0.9998849630355835)","(0.3679486811161041, 0.5264556407928467, -0.30371490120887756, 0.9998444318771362)","(0.3682510554790497, 0.5330732464790344, -0.3037233054637909, 0.9998359084129333)","(0.3685853183269501, 0.538860559463501, -0.3037512004375458, 0.9998242259025574)","(0.3697987198829651, 0.4804209768772125, -0.18851925432682037, 0.9997985363006592)","(0.3724367618560791, 0.5434215664863586, -0.17804621160030365, 0.9995537400245667)","(0.38904646039009094, 0.498081237077713, -0.2749032974243164, 0.999958872795105)","(0.39035704731941223, 0.5237905383110046, -0.2721507251262665, 0.9999350905418396)","(0.43648552894592285, 0.4067348837852478, -0.10725130885839462, 0.9999650120735168)","(0.4422249495983124, 0.5924299955368042, -0.0829467847943306, 0.9998689889907837)","(0.5196906328201294, 0.3812529146671295, -0.051884789019823074, 0.9872869849205017)","(0.5262939929962158, 0.5922847986221313, -0.04267944023013115, 0.9564816951751709)","(0.5979960560798645, 0.40039271116256714, -0.15482410788536072, 0.9798523783683777)","(0.5828772783279419, 0.6134997010231018, -0.1667982041835785, 0.9525730609893799)","(0.6211233139038086, 0.38942110538482666, -0.18678852915763855, 0.9599136114120483)","(0.6020806431770325, 0.6241245269775391, -0.20332711935043335, 0.924997866153717)","(0.6205766797065735, 0.3980981111526489, -0.22462838888168335, 0.9620268940925598)","(0.5969757437705994, 0.621141791343689, -0.24266932904720306, 0.9293896555900574)","(0.6145332455635071, 0.4039967954158783, -0.17123526334762573, 0.9529708027839661)","(0.5902258157730103, 0.6141318082809448, -0.1860918551683426, 0.9164761304855347)","(0.6012382507324219, 0.4512680470943451, -0.009878778830170631, 0.9996366500854492)","(0.6007444858551025, 0.5486425161361694, 0.009781302884221077, 0.9995551109313965)","(0.7229111194610596, 0.4530044198036194, -0.027424290776252747, 0.9956467151641846)","(0.7207481861114502, 0.5484949350357056, 0.008200393989682198, 0.9946252107620239)","(0.8241374492645264, 0.45618709921836853, 0.19400319457054138, 0.9937471747398376)","(0.8243173360824585, 0.5345872640609741, 0.2110084444284439, 0.9934855699539185)","(0.835471510887146, 0.4625292122364044, 0.20665405690670013, 0.9129596948623657)","(0.8372707962989807, 0.5212242007255554, 0.22241123020648956, 0.9009277820587158)","(0.8624563217163086, 0.4420364201068878, 0.05705508217215538, 0.9903849959373474)","(0.8673182129859924, 0.560323178768158, 0.07811550050973892, 0.9904285669326782)"
"(0.37825775146484375, 0.5146772265434265, -0.3077395558357239, 0.9999704957008362)","(0.36667779088020325, 0.5053344368934631, -0.29176709055900574, 0.9998800754547119)","(0.36630165576934814, 0.4981582462787628, -0.2918017506599426, 0.9998878836631775)","(0.3659544885158539, 0.49138396978378296, -0.2918056547641754, 0.999884307384491)","(0.36765047907829285, 0.5264745950698853, -0.28988492488861084, 0.9998431205749512)","(0.36796873807907104, 0.5330842137336731, -0.2899022102355957, 0.9998347163200378)","(0.3683771789073944, 0.5388658046722412, -0.28992342948913574, 0.9998224973678589)","(0.36965498328208923, 0.4804214835166931, -0.17335548996925354, 0.9998011589050293)","(0.37220925092697144, 0.5433323979377747, -0.1637568473815918, 0.9995508790016174)","(0.38886886835098267, 0.4981144964694977, -0.26144346594810486, 0.9999593496322632)","(0.39015358686447144, 0.5238310098648071, -0.2589114010334015, 0.9999352097511292)","(0.43649107217788696, 0.40679869055747986, -0.09509096294641495, 0.9999643564224243)","(0.44225093722343445, 0.5924636721611023, -0.06975168734788895, 0.9998660683631897)","(0.5198260545730591, 0.3812853693962097, -0.04462042450904846, 0.9869990944862366)","(0.5248169898986816, 0.5923112630844116, -0.04252805560827255, 0.9535366892814636)","(0.5980286598205566, 0.4001886248588562, -0.14695267379283905, 0.979186475276947)","(0.5780063271522522, 0.6137779951095581, -0.18761122226715088, 0.9506458640098572)","(0.6211557984352112, 0.38955050706863403, -0.1791166067123413, 0.9588679075241089)","(0.595531702041626, 0.62570720911026, -0.22695863246917725, 0.9234933853149414)","(0.6205909848213196, 0.39818713068962097, -0.2166805863380432, 0.9610955715179443)","(0.5890961289405823, 0.6234207153320312, -0.2647823691368103, 0.9280780553817749)","(0.6145469546318054, 0.4040517508983612, -0.16309159994125366, 0.9519382119178772)","(0.583150327205658, 0.615266740322113, -0.20687465369701385, 0.9149640202522278)","(0.601365327835083, 0.45126646757125854, -0.009535303339362144, 0.9996311068534851)","(0.6010116338729858, 0.5480474233627319, 0.009447400458157063, 0.9995511770248413)","(0.7224372625350952, 0.45272716879844666, -0.027135448530316353, 0.9956774115562439)","(0.7202914953231812, 0.5485967397689819, 0.004027236718684435, 0.9946593046188354)","(0.8240889310836792, 0.4556686580181122, 0.194767564535141, 0.9938524961471558)","(0.8241904973983765, 0.533835232257843, 0.20507654547691345, 0.993595540523529)","(0.8352092504501343, 0.4624873995780945, 0.20755572617053986, 0.9138505458831787)","(0.8372064828872681, 0.5209912657737732, 0.2160823792219162, 0.9014105796813965)","(0.8620251417160034, 0.44216978549957275, 0.05948829650878906, 0.990525484085083)","(0.8668699264526367, 0.5596119165420532, 0.07122135907411575, 0.9905280470848083)"
"(0.37807416915893555, 0.5148941874504089, -0.3172721266746521, 0.999970555305481)","(0.36658069491386414, 0.5057308077812195, -0.30131492018699646, 0.9998820424079895)","(0.36620497703552246, 0.49827057123184204, -0.3013497292995453, 0.9998895525932312)","(0.3658522069454193, 0.4913906753063202, -0.3013556897640228, 0.9998860359191895)","(0.36754167079925537, 0.5268996357917786, -0.2990521192550659, 0.9998449683189392)","(0.3678930103778839, 0.5334272980690002, -0.2990724742412567, 0.999836266040802)","(0.36833155155181885, 0.539103090763092, -0.29909446835517883, 0.9998233318328857)","(0.36960047483444214, 0.4804299473762512, -0.18069548904895782, 0.9998078942298889)","(0.3721560537815094, 0.5433371663093567, -0.1692301630973816, 0.9995560646057129)","(0.38877829909324646, 0.4984092116355896, -0.2700883150100708, 0.9999604821205139)","(0.3900631368160248, 0.5242627859115601, -0.2671518921852112, 0.9999362826347351)","(0.43651512265205383, 0.4068049192428589, -0.10077755898237228, 0.9999633431434631)","(0.44243916869163513, 0.5926971435546875, -0.07179483771324158, 0.9998612999916077)","(0.5199147462844849, 0.38140881061553955, -0.053266894072294235, 0.9866650104522705)","(0.5239402651786804, 0.5924675464630127, -0.059074100106954575, 0.9491861462593079)","(0.597708523273468, 0.40024909377098083, -0.16003532707691193, 0.978342592716217)","(0.5704634785652161, 0.6139398813247681, -0.2416607141494751, 0.9473656415939331)","(0.6210904121398926, 0.3903760612010956, -0.1938265711069107, 0.9575213193893433)","(0.5864326357841492, 0.6256935000419617, -0.28506943583488464, 0.9206961989402771)","(0.6204001307487488, 0.3990572690963745, -0.23144279420375824, 0.959866464138031)","(0.5803031921386719, 0.6231130957603455, -0.32156258821487427, 0.925529420375824)","(0.6143295764923096, 0.40437906980514526, -0.17622831463813782, 0.9504448175430298)","(0.57485032081604, 0.6150123476982117, -0.2611927092075348, 0.9120982885360718)","(0.6021262407302856, 0.4510675072669983, -0.009356002323329449, 0.9996265172958374)","(0.6019067168235779, 0.5478599071502686, 0.009272698312997818, 0.9995494484901428)","(0.7222888469696045, 0.4522608518600464, -0.02507448010146618, 0.9957550168037415)","(0.7199615836143494, 0.5488523244857788, 0.006953797303140163, 0.9947488307952881)","(0.8240832686424255, 0.45558950304985046, 0.202114999294281, 0.9940095543861389)","(0.8243865370750427, 0.5335751175880432, 0.20966772735118866, 0.9937761425971985)","(0.8351815342903137, 0.4624929130077362, 0.21557992696762085, 0.9158047437667847)","(0.837490975856781, 0.5208872556686401, 0.2210477739572525, 0.9030647277832031)","(0.8618538975715637, 0.4421633780002594, 0.061554305255413055, 0.9907663464546204)","(0.8668655157089233, 0.5595029592514038, 0.07749869674444199, 0.9907351732254028)"
"(0.3779928684234619, 0.5154612064361572, -0.31659483909606934, 0.9999716281890869)","(0.36653152108192444, 0.5065123438835144, -0.30106332898139954, 0.9998877644538879)","(0.3661651611328125, 0.4987875521183014, -0.30110299587249756, 0.9998947978019714)","(0.3658076524734497, 0.49161288142204285, -0.30111318826675415, 0.9998915791511536)","(0.3674655556678772, 0.5276367664337158, -0.2979888617992401, 0.9998515844345093)","(0.36784127354621887, 0.5340033769607544, -0.298007071018219, 0.9998429417610168)","(0.36828720569610596, 0.5395397543907166, -0.29801902174949646, 0.9998300075531006)","(0.36956822872161865, 0.48058751225471497, -0.1808660626411438, 0.9998201727867126)","(0.3721087574958801, 0.5434514880180359, -0.1662137806415558, 0.9995750784873962)","(0.388740211725235, 0.49914300441741943, -0.2695310413837433, 0.9999626874923706)","(0.38999250531196594, 0.525040864944458, -0.26565423607826233, 0.9999391436576843)","(0.4365369379520416, 0.40681883692741394, -0.10267378389835358, 0.9999635219573975)","(0.4425528347492218, 0.5929595232009888, -0.06516556441783905, 0.9998571276664734)","(0.5201326012611389, 0.38164690136909485, -0.05441358685493469, 0.9865445494651794)","(0.521872341632843, 0.5924469828605652, -0.06570187956094742, 0.9425742626190186)","(0.5977904200553894, 0.4007038176059723, -0.15399761497974396, 0.9777964353561401)","(0.5635933876037598, 0.6151204705238342, -0.2683405876159668, 0.943426251411438)","(0.6211224794387817, 0.3916962742805481, -0.1861891895532608, 0.9566793441772461)","(0.5795490741729736, 0.6265133023262024, -0.31277281045913696, 0.9175845980644226)","(0.6203836798667908, 0.40073293447494507, -0.22327129542827606, 0.9591149687767029)","(0.5737758278846741, 0.6237521767616272, -0.34932050108909607, 0.9227296113967896)","(0.6143224239349365, 0.40553632378578186, -0.16951945424079895, 0.9494985938072205)","(0.5682163238525391, 0.6159000992774963, -0.2886013984680176, 0.9089096188545227)","(0.6024795770645142, 0.45078498125076294, -0.009500945918262005, 0.9996285438537598)","(0.6028701663017273, 0.547522246837616, 0.009421424940228462, 0.9995499849319458)","(0.7223258018493652, 0.45149514079093933, -0.023878440260887146, 0.9958879947662354)","(0.7200276255607605, 0.5488280653953552, 0.008721768856048584, 0.9948705434799194)","(0.8240861296653748, 0.45549672842025757, 0.20427769422531128, 0.9942188262939453)","(0.8244284391403198, 0.533105731010437, 0.21203568577766418, 0.9939796924591064)","(0.8351773023605347, 0.4624924957752228, 0.21773646771907806, 0.9180333614349365)","(0.8375694155693054, 0.5207620859146118, 0.22372223436832428, 0.905283510684967)","(0.8617377281188965, 0.4421713948249817, 0.06339626014232635, 0.9910635948181152)","(0.8666595220565796, 0.558916449546814, 0.08047782629728317, 0.9909892082214355)"
"(0.3779025673866272, 0.5160080790519714, -0.31156086921691895, 0.9999726414680481)","(0.3664607107639313, 0.5072119235992432, -0.2961987555027008, 0.9998934864997864)","(0.36609750986099243, 0.4993375241756439, -0.2962404787540436, 0.9998999834060669)","(0.3657384514808655, 0.4918982684612274, -0.29625675082206726, 0.9998970627784729)","(0.36738625168800354, 0.5282900333404541, -0.29253852367401123, 0.9998581409454346)","(0.3677864670753479, 0.53453528881073, -0.29256102442741394, 0.9998496770858765)","(0.3682423532009125, 0.5399685502052307, -0.29256463050842285, 0.9998369812965393)","(0.36951255798339844, 0.4807637631893158, -0.1755867302417755, 0.9998323917388916)","(0.3720583915710449, 0.5435002446174622, -0.15891046822071075, 0.9995945692062378)","(0.3886549770832062, 0.4996455907821655, -0.2642575800418854, 0.9999648332595825)","(0.3899081349372864, 0.5256117582321167, -0.25976336002349854, 0.9999420642852783)","(0.4365611672401428, 0.40684476494789124, -0.09874507039785385, 0.99996417760849)","(0.4426575303077698, 0.5931504368782043, -0.05470503866672516, 0.9998531937599182)","(0.5204014778137207, 0.3820074498653412, -0.05337078124284744, 0.9866151213645935)","(0.5203896760940552, 0.5924559235572815, -0.06840940564870834, 0.9357616305351257)","(0.5979375243186951, 0.40131962299346924, -0.1547536849975586, 0.9777438640594482)","(0.55976802110672, 0.6165796518325806, -0.29047691822052, 0.9413573145866394)","(0.6212324500083923, 0.39312198758125305, -0.1882808953523636, 0.9566962122917175)","(0.5738236904144287, 0.6276060342788696, -0.33803901076316833, 0.9167944192886353)","(0.620383083820343, 0.4030163586139679, -0.22463420033454895, 0.9591593146324158)","(0.5670000314712524, 0.6255381107330322, -0.3731261193752289, 0.922095775604248)","(0.6143217086791992, 0.4074484407901764, -0.17000432312488556, 0.9495218396186829)","(0.5619164705276489, 0.6180337071418762, -0.31069040298461914, 0.9079921245574951)","(0.6025373339653015, 0.4508078992366791, -0.01038711704313755, 0.9996326565742493)","(0.6029389500617981, 0.547538697719574, 0.01032152771949768, 0.9995508790016174)","(0.7222736477851868, 0.45149847865104675, -0.030832970514893532, 0.995958149433136)","(0.7200009822845459, 0.5489779710769653, 0.006864489521831274, 0.9948679804801941)","(0.8240877389907837, 0.45526257157325745, 0.2022516280412674, 0.9943084716796875)","(0.8245288729667664, 0.5328637957572937, 0.21258875727653503, 0.9940715432167053)","(0.8351722955703735, 0.46247467398643494, 0.21589477360248566, 0.9190383553504944)","(0.8377237915992737, 0.5206625461578369, 0.22422337532043457, 0.9067187905311584)","(0.8617544174194336, 0.4422246813774109, 0.06375522911548615, 0.9911662340164185)","(0.8666751384735107, 0.5586615204811096, 0.07855972647666931, 0.9910571575164795)"
"(0.3778159022331238, 0.5167405009269714, -0.2967548370361328, 0.999973714351654)","(0.3663373291492462, 0.5079867243766785, -0.28047412633895874, 0.9998992085456848)","(0.365984708070755, 0.49999475479125977, -0.28052303194999695, 0.9999051094055176)","(0.36563289165496826, 0.4922798275947571, -0.2805432379245758, 0.9999023079872131)","(0.36723849177360535, 0.5290495157241821, -0.2764929234981537, 0.9998648762702942)","(0.36766982078552246, 0.5351765155792236, -0.2765168249607086, 0.9998565316200256)","(0.36812642216682434, 0.5404846668243408, -0.2765151262283325, 0.9998441934585571)","(0.36943674087524414, 0.48099401593208313, -0.1578293740749359, 0.9998442530632019)","(0.3719694912433624, 0.543606698513031, -0.14010754227638245, 0.9996139407157898)","(0.38860341906547546, 0.5003219246864319, -0.24900157749652863, 0.9999669790267944)","(0.38984668254852295, 0.5263312458992004, -0.24419279396533966, 0.9999450445175171)","(0.4365893006324768, 0.4068913757801056, -0.0847894549369812, 0.9999647736549377)","(0.4428219199180603, 0.5933809876441956, -0.03877529129385948, 0.9998481273651123)","(0.5207837820053101, 0.38215360045433044, -0.047311875969171524, 0.9866171479225159)","(0.519368588924408, 0.5924817323684692, -0.07542800903320312, 0.9271116256713867)","(0.5981106758117676, 0.40175971388816833, -0.1507415920495987, 0.9777887463569641)","(0.5560773611068726, 0.6183443069458008, -0.328313410282135, 0.9399762153625488)","(0.6213282346725464, 0.3942009508609772, -0.18599238991737366, 0.9569666385650635)","(0.5662878155708313, 0.6311730146408081, -0.38099974393844604, 0.9171373844146729)","(0.6203873157501221, 0.40453746914863586, -0.22158657014369965, 0.9594331979751587)","(0.559106707572937, 0.6324690580368042, -0.4155094623565674, 0.922541081905365)","(0.6143287420272827, 0.4088314175605774, -0.1658727377653122, 0.9498498439788818)","(0.5555676817893982, 0.6242249608039856, -0.34935081005096436, 0.9083620309829712)","(0.6028866767883301, 0.45086929202079773, -0.01161594782024622, 0.9996429681777954)","(0.603467583656311, 0.547629714012146, 0.011569290421903133, 0.9995601177215576)","(0.7222981452941895, 0.45156341791152954, -0.03225764259696007, 0.9960923790931702)","(0.7202436327934265, 0.549818754196167, 0.008009776473045349, 0.9949068427085876)","(0.8240267634391785, 0.45529863238334656, 0.20851506292819977, 0.9944627285003662)","(0.8247697949409485, 0.5323886275291443, 0.22202256321907043, 0.994253396987915)","(0.8350075483322144, 0.4625595510005951, 0.22347824275493622, 0.9208990931510925)","(0.837978720664978, 0.5200650691986084, 0.23460546135902405, 0.9094958305358887)","(0.8617507219314575, 0.442359060049057, 0.07239847630262375, 0.9913861155509949)","(0.8666679263114929, 0.5581976771354675, 0.086680106818676, 0.9912673830986023)"
"(0.37777936458587646, 0.5172885060310364, -0.30532342195510864, 0.9999751448631287)","(0.36627501249313354, 0.5084916353225708, -0.2895704209804535, 0.9999061226844788)","(0.3659282326698303, 0.5003883242607117, -0.28960922360420227, 0.999911367893219)","(0.365575909614563, 0.4925112724304199, -0.2896144390106201, 0.9999088048934937)","(0.36717429757118225, 0.5296041369438171, -0.2871955335140228, 0.9998735785484314)","(0.367627888917923, 0.5357118248939514, -0.28721553087234497, 0.9998655915260315)","(0.36808863282203674, 0.5409224629402161, -0.28722745180130005, 0.9998539090156555)","(0.3693941831588745, 0.48113954067230225, -0.16885580122470856, 0.99985671043396)","(0.3719542622566223, 0.5437611937522888, -0.15274786949157715, 0.9996390342712402)","(0.38858675956726074, 0.5008065700531006, -0.2582648992538452, 0.9999693036079407)","(0.3898339569568634, 0.5269578695297241, -0.25497686862945557, 0.9999485611915588)","(0.43668580055236816, 0.4069317877292633, -0.09201613813638687, 0.9999654293060303)","(0.4428483843803406, 0.5935257077217102, -0.04586479812860489, 0.9998427629470825)","(0.521085262298584, 0.3822563588619232, -0.049566637724637985, 0.9867101311683655)","(0.5191905498504639, 0.593178927898407, -0.09147356450557709, 0.9175114035606384)","(0.5981531143188477, 0.4022734761238098, -0.15223634243011475, 0.9777575135231018)","(0.5493956804275513, 0.6191295981407166, -0.35889723896980286, 0.9377266764640808)","(0.6213341951370239, 0.39522162079811096, -0.18649035692214966, 0.9569783806800842)","(0.5573205947875977, 0.631924033164978, -0.4119705855846405, 0.9163652658462524)","(0.6203661561012268, 0.4060993790626526, -0.221505269408226, 0.959448516368866)","(0.5492221117019653, 0.633412778377533, -0.4444490671157837, 0.9218677878379822)","(0.6143224239349365, 0.4104425609111786, -0.16685806214809418, 0.9498053789138794)","(0.5466312170028687, 0.6254428625106812, -0.37933817505836487, 0.9072948098182678)","(0.6029229164123535, 0.4509357810020447, -0.014000522904098034, 0.999653160572052)","(0.6035297513008118, 0.547797441482544, 0.013952754437923431, 0.9995669722557068)","(0.7223033905029297, 0.45177385210990906, -0.03181198611855507, 0.9962409138679504)","(0.7202617526054382, 0.5499574542045593, 0.011693110689520836, 0.9949790239334106)","(0.824036717414856, 0.4556361436843872, 0.2107308954000473, 0.9946785569190979)","(0.8248712420463562, 0.5320501923561096, 0.2302037477493286, 0.9944702386856079)","(0.835091233253479, 0.46259868144989014, 0.22563588619232178, 0.923279345035553)","(0.8380990624427795, 0.519578218460083, 0.24285374581813812, 0.9127222895622253)","(0.8616667985916138, 0.44337111711502075, 0.07343021780252457, 0.9916921854019165)","(0.866655707359314, 0.5581100583076477, 0.09363511949777603, 0.9915416240692139)"
